2016,London Borough,Area (square km),Area where NO2 greater than 40mug (square km),Percent of area where NO2 greater than 40mug,Area where NO2 greater than 60mug (square km),Percent of area where NO2 greater than 60mug,Total Population,Population in areas where NO2 greater than 40mug,Percent Population in areas where NO2 greater than 40mug,LA Code
1.911,Barnet,86.7,6.1,0.07,0.5,0.006,386200,38000,0.098,E09000003
1.179,Bexley,64.3,1.2,0.019,0,0,245000,1100,0.004,E09000004
987,Brent,43.2,5.8,0.134,0.4,0.009,329100,68600,0.208,E09000005
1.418,Bromley,150.2,1.2,0.008,0,0,327500,300,0.001,E09000006
470,Camden,21.8,12.9,0.592,0.6,0.028,246200,200100,0.813,E09000007
168,City of London,3.2,3.2,1,0.5,0.155,7400,7400,1,E09000001
1.359,Croydon,86.5,1.8,0.021,0,0,382300,1400,0.004,E09000008
1.318,Ealing,55.5,6.2,0.112,0.5,0.009,343500,44200,0.0129,E09000009
1.921,Enfield,82.2,3.3,0.04,0.3,0.003,331500,11600,0.035,E09000010
1.161,Greenwich,50.4,4,0.079,0.3,0.006,279900,22900,0.082,E09000011
522,Hackney,19.1,8.6,0.451,0.3,0.017,273900,160000,0.584,E09000012
560,Hammersmith and Fulham,17.2,6,0.35,0.4,0.022,180000,85400,0.474,E09000013
608,Haringey,29.6,3.2,0.108,0.2,0.006,279300,41800,0.15,E09000014
828,Harrow,50.5,0.9,0.018,0,0,249300,0,0,E09000015
1.727,Havering,114.5,1.7,0.015,0,0,253100,0,0,E09000016
2.433,Hillingdon,115.7,9.1,0.079,0.5,0.005,303100,3600,0.012,E09000017
1.645,Hounslow,56.6,4.8,0.085,0.3,0.006,271500,26200,0.097,E09000018
429,Islington,14.9,10.5,0.707,0.3,0.022,233200,177200,0.76,E09000019
533,Kensington and Chelsea,12.4,11,0.888,0.6,0.048,157100,150200,0.956,E09000020
1.001,Kingston upon Thames,37.2,1.5,0.04,0.1,0.002,176100,3800,0.022,E09000021
809,Lambeth,27.3,10,0.367,0.4,0.015,328200,152200,0.464,E09000022
891,Lewisham,35.3,3.1,0.088,0.2,0.005,302300,35600,0.118,E09000023
645,Merton,37.6,1.5,0.04,0,0.001,205700,4000,0.019,E09000024
989,Newham,38.7,4.3,0.111,0.4,0.009,342400,46400,0.136,E09000025
1.312,Redbridge,56.5,3.1,0.055,0.3,0.006,299400,14300,0.048,E09000026
852,Richmond upon Thames,58.8,1.9,0.032,0.1,0.001,195800,5800,0.03,E09000027
783,Southwark,29.9,13.7,0.458,0.5,0.015,313900,197300,0.629,E09000028
718,Sutton,43.9,0.7,0.016,0,0,202600,0,0,E09000029
941,Tower Hamlets,21.6,13.7,0.635,0.7,0.031,305500,235700,0.772,E09000030
879,Waltham Forest,38.8,2.9,0.075,0.3,0.8,276500,23700,0.086,E09000031
819,Wandsworth,35.2,7.1,0.202,0.2,0.005,316700,80900,0.255,E09000032
895,Westminster,22,21.6,0.981,1.6,0.074,247600,241000,0.973,E09000033
